price,wheelbase,curbweight,enginesize,boreratio,horsepower,fueleconomy,carlength,carwidth,gas,turbo,hardtop,hatchback,sedan,wagon,fwd,rwd,dohcv,l,ohc,ohcf,ohcv,rotor,five,four,six,three,twelve,two,Medium,Highend
13495,88.6,2548,130,3.47,111,23.700000000000003,168.8,64.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16500,88.6,2548,130,3.47,111,23.700000000000003,168.8,64.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16500,94.5,2823,152,2.68,154,22.150000000000002,171.2,65.5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
13950,99.8,2337,109,3.19,102,26.700000000000003,176.6,66.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
17450,99.4,2824,136,3.19,115,19.8,176.6,66.4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15250,99.8,2507,136,3.19,110,21.700000000000003,177.3,66.3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
17710,105.8,2844,136,3.19,110,21.700000000000003,192.7,71.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
18920,105.8,2954,136,3.19,110,21.700000000000003,192.7,71.4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23875,105.8,3086,131,3.13,140,18.35,192.7,71.4,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
17859,99.5,3053,131,3.13,160,18.700000000000003,178.2,67.9,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
16430,101.2,2395,108,3.5,101,25.700000000000003,176.8,64.8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
16925,101.2,2395,108,3.5,101,25.700000000000003,176.8,64.8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
20970,101.2,2710,164,3.31,121,24.15,176.8,64.8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21105,101.2,2765,164,3.31,121,24.15,176.8,64.8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
24565,103.5,3055,164,3.31,121,22.25,189.0,66.9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
30760,103.5,3230,209,3.62,182,18.700000000000003,189.0,66.9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
41315,103.5,3380,209,3.62,182,18.700000000000003,193.8,67.9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
36880,110.0,3505,209,3.62,182,17.25,197.0,70.9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5151,88.4,1488,61,2.91,48,49.7,141.1,60.3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6295,94.5,1874,90,3.03,70,40.25,155.9,63.6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6575,94.5,1909,90,3.03,70,40.25,158.8,63.6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5572,93.7,1876,90,2.97,68,38.8,157.3,63.8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6377,93.7,1876,90,2.97,68,34.150000000000006,157.3,63.8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
